,loss
0,0.4188677668571472
1,0.3365305960178375
2,0.3635888695716858
3,0.3765231966972351
4,0.3468055725097656
5,0.37033551931381226
6,0.37239012122154236
7,0.36839061975479126
8,0.3632456362247467
9,0.3991938531398773
10,0.34746435284614563
11,0.3478435277938843
12,0.37434643507003784
13,0.3170880079269409
14,0.32700830698013306
15,0.2984878122806549
16,0.33531177043914795
17,0.31130242347717285
18,0.31634461879730225
19,0.2841808795928955
20,0.2903525233268738
21,0.30927473306655884
22,0.3325895667076111
23,0.3486119508743286
24,0.287939190864563
25,0.33016231656074524
26,0.28748881816864014
27,0.3331921100616455
28,0.3087036907672882
29,0.3041880130767822
30,0.3233864903450012
31,0.27357399463653564
32,0.28475698828697205
33,0.28503113985061646
34,0.3187125325202942
35,0.29412198066711426
36,0.3622668385505676
37,0.27651476860046387
38,0.28168371319770813
39,0.2820241451263428
40,0.2800331115722656
41,0.28873348236083984
42,0.29699188470840454
43,0.28853538632392883
44,0.2771115303039551
45,0.28516268730163574
46,0.28940218687057495
47,0.32913944125175476
48,0.29019737243652344
49,0.27455300092697144
50,0.2786547541618347
51,0.24933186173439026
52,0.2571577727794647
53,0.26779407262802124
54,0.2611197829246521
55,0.251502126455307
56,0.2701382040977478
57,0.2789490818977356
58,0.26469749212265015
59,0.27552148699760437
60,0.22149625420570374
61,0.28537482023239136
62,0.23487713932991028
63,0.2632189989089966
64,0.26186370849609375
65,0.27150097489356995
66,0.280232310295105
67,0.23361894488334656
68,0.24811002612113953
69,0.24920465052127838
70,0.24344545602798462
71,0.24281173944473267
72,0.25194913148880005
73,0.24082119762897491
74,0.24443569779396057
75,0.2833205461502075
76,0.289351224899292
77,0.27936020493507385
78,0.2442762553691864
79,0.25828418135643005
80,0.21753576397895813
81,0.27491530776023865
82,0.21559852361679077
83,0.27736949920654297
84,0.2438601553440094
85,0.29787176847457886
86,0.2591363191604614
87,0.22656963765621185
88,0.24241039156913757
89,0.25265181064605713
90,0.23032858967781067
91,0.21276429295539856
92,0.24424466490745544
93,0.26891258358955383
94,0.2047402411699295
95,0.22286178171634674
96,0.18972036242485046
97,0.23456846177577972
98,0.2093781977891922
99,0.24853231012821198
100,0.20451262593269348
101,0.24944496154785156
102,0.23280128836631775
103,0.2617354393005371
104,0.2566770911216736
105,0.22736553847789764
106,0.22708429396152496
107,0.229908749461174
108,0.23343974351882935
109,0.18696340918540955
110,0.2514805495738983
111,0.19082535803318024
112,0.25241518020629883
113,0.23656682670116425
114,0.22603924572467804
115,0.23309393227100372
116,0.23123401403427124
117,0.19851112365722656
118,0.2193627804517746
119,0.26369285583496094
120,0.26103460788726807
121,0.2386305034160614
122,0.21823889017105103
123,0.25493931770324707
124,0.2014806866645813
125,0.24768991768360138
126,0.2485349178314209
127,0.22901928424835205
128,0.22483691573143005
129,0.24267691373825073
130,0.24544715881347656
131,0.24935172498226166
132,0.1987341344356537
133,0.2263908088207245
134,0.22961804270744324
135,0.20238035917282104
136,0.20902591943740845
137,0.22105301916599274
138,0.2055625319480896
139,0.2254461646080017
140,0.21717393398284912
141,0.2184416949748993
142,0.24653390049934387
143,0.22817295789718628
144,0.21145707368850708
145,0.21791255474090576
146,0.22595778107643127
147,0.26634278893470764
148,0.25433066487312317
149,0.19241496920585632
150,0.23925983905792236
151,0.1971680223941803
152,0.226032093167305
153,0.2507462501525879
154,0.17906315624713898
155,0.21174637973308563
156,0.25142204761505127
157,0.2158139944076538
158,0.22756145894527435
159,0.2136201560497284
160,0.2029908001422882
161,0.18774503469467163
162,0.22266575694084167
163,0.20426738262176514
164,0.21398316323757172
165,0.23429900407791138
166,0.2189422845840454
167,0.19772732257843018
168,0.20974397659301758
169,0.2390446811914444
170,0.24127474427223206
171,0.19596566259860992
172,0.2048766314983368
173,0.17240440845489502
174,0.18536517024040222
175,0.19930660724639893
176,0.20471251010894775
177,0.199034184217453
178,0.21429330110549927
179,0.2079049050807953
180,0.2382735311985016
181,0.23509028553962708
182,0.21298393607139587
183,0.19615092873573303
184,0.18548396229743958
185,0.19474303722381592
186,0.23593059182167053
187,0.21272161602973938
